Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,45C,Lit In English,Primary,Lecture,,2,2,,119,,,21,119,118,,100,,0,,0,,59.5,,2
English,45C,Lit In English,Primary,Lecture,2,,,121,,120,66,,,,99.1735537190083,,0,,0,,60,,1,
English,80K,Children'S Lit,Primary,Lecture,1,,,137,,135,108,,,,98.5401459854015,,0,,0,,135,,0,
English,84,Sophomore Seminar,Primary,Seminar,,1,1,,18,,,28,18,18,,100,,0,,0,,18,,1
English,84,Sophomore Seminar,Primary,Seminar,1,,,12,,12,29,,,,100,,0,,0,,12,,1,
English,98,Directed Group Stdy,Primary,Directed Group Study,,0,0,,280,,,0,0,0,,0,,0,,0,,,,0
English,98BC,Directed Group Stud,Primary,Directed Group Study,,3,3,,39,,,46,39,38,,100,,0,,0,,13,,3
English,98BC,Directed Group Stud,Primary,Directed Group Study,3,,,34,,33,51,,,,97.0588235294118,,0,,0,,11,,2,
English,101,History Eng Lang,Primary,Lecture,,1,1,,26,,,24,26,26,,100,,0,,0,,26,,1
English,105,Anglo-Saxon England,Primary,Lecture,1,,,32,,31,34,,,,96.875,,0,,0,,31,,0,
English,111,Chaucer,Primary,Lecture,,0,0,,21,,,12,0,0,,0,,0,,0,,,,0
English,111,Chaucer,Primary,Lecture,1,,,45,,44,30,,,,97.7777777777778,,0,,0,,44,,0,
English,114A,English Drama,Primary,Lecture,,0,0,,23,,,24,0,0,,0,,0,,0,,,,0
English,114A,English Drama,Primary,Lecture,1,,,25,,25,24,,,,100,,0,,0,,25,,1,
English,117J,Shakespeare,Primary,Lecture,,0,0,,25,,,0,0,0,,0,,0,,0,,,,0
English,117S,Shakespeare,Primary,Lecture,,2,2,,156,,,8,155,155,,99.3589743589744,,0,,0,,77.5,,1
English,117S,Shakespeare,Primary,Lecture,2,,,99,,98,56,,,,98.989898989899,,0,,0,,49,,1,
English,117T,Shakespeare/Theatre,Primary,Lecture,,0,0,,40,,,0,0,0,,0,,0,,25,,,,0
English,118,Milton,Primary,Lecture,1,,,61,,60,57,,,,98.3606557377049,,0,,0,,60,,0,
English,119,Lit Rest & Ear 18 C,Primary,Lecture,1,,,28,,28,29,,,,100,,0,,0,,28,,1,
English,122,Victorian Period,Primary,Lecture,,1,1,,50,,,53,50,48,,100,,0,,0,,50,,1
English,125C,European Novel,Primary,Lecture,1,,,35,,35,59,,,,100,,0,,0,,35,,1,
English,125E,Contemporary Novel,Primary,Lecture,,1,1,,102,,,105,102,101,,100,,0,,0,,102,,1
English,125E,Contemporary Novel,Primary,Lecture,1,,,57,,53,49,,,,92.9824561403509,,0,,0,,53,,0,
English,126,British Lit/1900-45,Primary,Lecture,,1,1,,45,,,58,46,44,,102.222222222222,,0,,0,,46,,1
English,128,Modern Drama,Primary,Lecture,,1,1,,29,,,16,29,29,,100,,0,,0,,29,,1
English,130A,Am Lit: Before 1800,Primary,Lecture,1,,,46,,45,51,,,,97.8260869565217,,0,,0,,45,,0,
English,130B,Amer Lit: 1800-1865,Primary,Lecture,,1,1,,26,,,37,26,25,,100,,0,,0,,26,,1
English,130D,Am Lit: 1900-45,Primary,Lecture,0,,,0,,0,,,,,,,0,,0,,,,0,
English,132,American Novel,Primary,Lecture,,1,1,,81,,,33,81,78,,100,,0,,0,,81,,1
English,132,American Novel,Primary,Lecture,1,,,88,,83,67,,,,94.3181818181818,,0,,0,,83,,0,
English,133B,Af Am Since 1917,Primary,Lecture,,1,1,,26,,,20,26,26,,100,,0,,0,,26,,1
English,C136,American Studies,Primary,Lecture,,1,1,,47,,,4,30,30,,63.8297872340426,,0,,0,,30,,0
English,C136,Topics In Amer Stud,Primary,Lecture,1,,,27,,27,22,,,,100,,0,,0,,27,,1,
English,137B,Chic Lit Since 1910,Primary,Lecture,,0,0,,0,,,3,0,0,,,,0,,0,,,,0
English,137B,Chic Lit Since 1910,Primary,Lecture,1,,,45,,45,32,,,,100,,0,,0,,45,,1,
English,137T,Topics Chic Lit/Cul,Primary,Lecture,,1,1,,30,,,28,30,30,,100,,0,,0,,30,,1
English,137T,Topics Chic Lit/Cul,Primary,Lecture,0,,,0,,0,,,,,,,0,,0,,,,0,
English,138,Stud Wor Lit Eng,Primary,Lecture,,1,1,,43,,,50,43,40,,100,,0,,0,,43,,1
English,139,Cultures Of English,Primary,Lecture,1,,,26,,26,27,,,,100,,0,,0,,26,,1,
English,141,Modes Of Writing,Primary,Lecture,,1,1,,47,,,69,47,47,,100,,0,,0,,47,,1
English,141,Modes Of Writing,Primary,Lecture,1,,,45,,45,77,,,,100,,0,,0,,45,,1,
English,143A,Short Fiction,Primary,Lecture,,2,2,,56,,,91,33,32,,58.9285714285714,,0,,0,,16.5,,0
English,143A,Short Fiction,Primary,Lecture,3,,,45,,32,54,,,,71.1111111111111,,0,,0,,10.6666666666667,,0,
English,143B,Verse,Primary,Lecture,,2,2,,45,,,20,22,22,,48.8888888888889,,0,,0,,11,,0
English,143B,Verse,Primary,Lecture,2,,,29,,20,17,,,,68.9655172413793,,0,,0,,10,,0,
