Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,166,Special Topics,Primary,Lecture,2,,,48,,46,41,,,,95.8333333333333,,0,,0,,23,,1,
English,171,Lit And Sexual Iden,Primary,Lecture,,1,1,,40,,,62,37,37,,92.5,,1,,1,,37,,0
English,171,Lit And Sexual Iden,Primary,Lecture,1,,,40,,40,71,,,,100,,3,,3,,40,,1,
English,173,Lang/Lit Of Films,Primary,Lecture,,1,1,,55,,,76,55,55,,100,,0,,0,,55,,1
English,174,Lit & History,Primary,Lecture,,1,1,,21,,,5,21,20,,100,,0,,0,,21,,1
English,175,Lit And Disability,Primary,Lecture,,1,1,,42,,,32,42,42,,100,,2,,2,,42,,1
English,175,Lit And Disability,Primary,Lecture,1,,,25,,25,22,,,,100,,0,,0,,25,,1,
English,176,Lit & Pop Culture,Primary,Lecture,0,,,0,,0,8,,,,,,0,,0,,,,0,
English,180A,Autobiography,Primary,Lecture,,0,0,,7,,,0,0,0,,0,,0,,0,,,,0
English,180L,Lyric Verse,Primary,Lecture,1,,,48,,48,34,,,,100,,0,,0,,48,,1,
English,180N,The Novel,Primary,Lecture,,0,0,,0,,,2,0,0,,,,0,,0,,,,0
English,180R,Romance,Primary,Lecture,1,,,23,,23,39,,,,100,,0,,0,,23,,1,
English,190,Research Seminar,Primary,Seminar,,14,14,,163,,,50,162,162,,99.3865030674847,,1,,1,,11.5714285714286,,14
English,190,Research Seminar,Primary,Seminar,11,,,206,,173,166,,,,83.9805825242718,,1,,7,,15.7272727272727,,11,
English,H195A,Honors Course,Primary,Lecture,,2,2,,56,,,3,35,34,,62.5,,0,,0,,17.5,,0
English,H195A,Honors Course,Primary,Lecture,2,,,50,,24,4,,,,48,,0,,0,,12,,0,
English,198,Directed Group Stdy,Primary,Directed Group Study,,10,10,,558,,,1,136,135,,24.3727598566308,,0,,0,,13.6,,1
English,198,Directed Group Stdy,Primary,Directed Group Study,9,,,215,,126,1,,,,58.6046511627907,,0,,224,,14,,4,
English,198BC,Directed Group Stud,Primary,Directed Group Study,,9,9,,184,,,112,181,178,,98.3695652173913,,1,,1,,20.1111111111111,,6
English,198BC,Directed Group Stud,Primary,Directed Group Study,9,,,179,,179,275,,,,100,,6,,8,,19.8888888888889,,9,
English,200,Problems Stdy Lit,Primary,Lecture,,1,1,,12,,,0,12,12,,100,,0,,0,,12,,1
English,200,Problems Stdy Lit,Primary,Lecture,1,,,15,,13,1,,,,86.6666666666667,,0,,0,,13,,0,
