Semester,Class,Class Number,Section Number,Title,Author(s),Gender,Number Students
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,Slouching Towards Bethlehem,['Joan Didion'],female,16
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,Miss Lonelyhearts and the Day of the Locust,"['Nathanael West', 'Jonathan Lethem']",Multiple Authors,16
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,Jack Sheppard,['William Harrison Ainsworth'],male,16
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,Lady Audley's Secret,['Mary Elizabeth Braddon'],female,16
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,The Moonstone,Could not find author,,16
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,Dr. Jekyll and Mr. Hyde,['Robert Louis Stevenson'],male,16
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,Dracula,['Bram Stoker'],female,16
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,The Picture of Dorian Gray,['Oscar Wilde'],male,16
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,Robinson Crusoe,['Daniel Defoe'],male,14
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,Cloud Atlas,['David Mitchell'],male,14
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,Essay on Man & Other Poems,['Alexander Pope'],male,14
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,The Adventures of Huckleberry Finn,"['Mark Twain', 'Dotti Enderle']",Multiple Authors,14
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,To The Lighthouse,['Virginia Woolf'],male,14
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,18,Blacks,['Gwendolyn Brooks'],female,14
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,18,Collected Poems: Robert Hayden,['Robert Hayden'],male,14
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,18,"""Harlem Gallery"" and Other Poems of Melvin B. Tolson","['Melvin Beaunorus Tolson', 'Raymond Nelson']",Multiple Authors,14
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,19,The Gift of Rain,['Tan Twan Eng'],unknown,15
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,19,River of Smoke,['Amitav Ghosh'],male,15
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,19,The Vagrants,['Yiyun Li'],female,15
Spring 2012,Reading & Composition:  Reading California,English R1B,20,The Devil's Punchbowl: A Cultural and Geographical Map of California Today,['Veronique De Turenne'],unknown,16
Spring 2012,Reading & Composition:  Reading California,English R1B,20,The Life and Adventures of Joaquin Murieta,['John Rollin Ridge'],male,16
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,Aristotle's Poetics,['Aristotle'],male,17
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,MLA Handbook for Writers of Research Papers,['Joseph Gibaldi'],male,17
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,Shakespeare's Tragedies (ed. Bevington),['Kiernan Ryan'],unknown,17
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,Oedipus Rex,['Sophocles'],male,17
Spring 2012,Reading & Composition:  Laughter and Literature,English R1B,23,The Aztec Love God,['Tony Diaz'],unknown,14
Spring 2012,Reading & Composition:  Reading California,English R1B,24,The Devil's Punchbowl: A Cultural and Geographical Map of California Today,['Veronique De Turenne'],unknown,17
Spring 2012,Reading & Composition:  Reading California,English R1B,24,The Life and Adventures of Joaquin Murieta,['John Rollin Ridge'],male,17
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,Northanger Abbey,['Jane Austen'],female,18
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,The Philip K. Dick Reader,['Philip K. Dick'],male,18
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,The Trial,['Franz Kafka'],male,18
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,The Crying of Lot 49,['Thomas Pynchon'],male,18
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,Aristotle's Poetics,['Aristotle'],male,16
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,MLA Handbook for Writers of Research Papers,['Joseph Gibaldi'],male,16
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,Shakespeare's Tragedies (ed. Bevington),['Kiernan Ryan'],unknown,16
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,Oedipus Rex,['Sophocles'],male,16
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,Of Plymouth Plantation,['William Bradford'],male,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"I, Tituba, Black Witch of Salem","['Maryse Cond', 'Richard Philcox']",Multiple Authors,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,The Scarlet Letter,['Nathaniel Hawthorne'],male,17
