Spring 2012,Reading & Composition:  Storytelling,English R1B,Miss Lonelyhearts and the Day of the Locust,"['Nathanael West', 'Jonathan Lethem']",Multiple Authors,15,"Gordon,Zachary"
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,Jack Sheppard,['William Harrison Ainsworth'],male,16,"Baldwin,Ruth"
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,Lady Audley's Secret,['Mary Elizabeth Braddon'],female,16,"Baldwin,Ruth"
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,The Moonstone,['Wilkie Collins'],male,16,"Baldwin,Ruth"
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,Dr. Jekyll and Mr. Hyde,['Robert Louis Stevenson'],male,16,"Baldwin,Ruth"
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,Dracula,['Bram Stoker'],female,16,"Baldwin,Ruth"
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,The Picture of Dorian Gray,['Oscar Wilde'],male,16,"Baldwin,Ruth"
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,Robinson Crusoe,['Daniel Defoe'],male,17,"Menilla,David"
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,Cloud Atlas,['David Mitchell'],male,17,"Menilla,David"
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,Essay on Man & Other Poems,['Alexander Pope'],male,17,"Menilla,David"
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,The Adventures of Huckleberry Finn,"['Mark Twain', 'Dotti Enderle']",Multiple Authors,17,"Menilla,David"
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,To The Lighthouse,['Virginia Woolf'],male,17,"Menilla,David"
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,Blacks,['Gwendolyn Brooks'],female,18,"Gardezi,Nilofar"
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,Collected Poems: Robert Hayden,['Robert Hayden'],male,18,"Gardezi,Nilofar"
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,"""Harlem Gallery"" and Other Poems of Melvin B. Tolson","['Melvin Beaunorus Tolson', 'Raymond Nelson']",Multiple Authors,18,"Gardezi,Nilofar"
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,The Gift of Rain,['Tan Twan Eng'],unknown,19,"Lee,Amy"
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,River of Smoke,['Amitav Ghosh'],male,19,"Lee,Amy"
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,The Vagrants,['Yiyun Li'],female,19,"Lee,Amy"
