Spring 2012,Reading & Composition:  Country and City,English R1B,14,"Bauer,Mark",The Crying of Lot 49
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,"Gordon,Zachary",If on a winter's night a traveller
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,"Gordon,Zachary",Writing Analytically
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,"Gordon,Zachary",Slouching Towards Bethlehem
Spring 2012,Reading & Composition:  Storytelling,English R1B,15,"Gordon,Zachary",Miss Lonelyhearts and the Day of the Locust
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,"Baldwin,Ruth",Jack Sheppard
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,"Baldwin,Ruth",Lady Audley's Secret
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,"Baldwin,Ruth",The Moonstone
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,"Baldwin,Ruth",Dr. Jekyll and Mr. Hyde
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,"Baldwin,Ruth",Dracula
Spring 2012,Reading & Composition:  Victorian Crime,English R1B,16,"Baldwin,Ruth",The Picture of Dorian Gray
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,"Menilla,David",Robinson Crusoe
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,"Menilla,David",Cloud Atlas
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,"Menilla,David",Essay on Man & Other Poems
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,"Menilla,David",The Adventures of Huckleberry Finn
Spring 2012,Reading & Composition:  Alternate Narratives,English R1B,17,"Menilla,David",To The Lighthouse
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,18,"Gardezi,Nilofar",Blacks
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,18,"Gardezi,Nilofar",Collected Poems: Robert Hayden
Spring 2012,"Reading & Composition:  Modern African American Poetry, 1940-1960",English R1B,18,"Gardezi,Nilofar","""Harlem Gallery"" and Other Poems of Melvin B. Tolson"
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,19,"Lee,Amy",The Gift of Rain
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,19,"Lee,Amy",River of Smoke
Spring 2012,Reading & Composition:  Postcolonial China,English R1B,19,"Lee,Amy",The Vagrants
Spring 2012,Reading & Composition:  Reading California,English R1B,20,"Hausman,Blake",The Devil's Punchbowl: A Cultural and Geographical Map of California Today
Spring 2012,Reading & Composition:  Reading California,English R1B,20,"Hausman,Blake",The Life and Adventures of Joaquin Murieta
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,"Jordan,Joseph",Aristotle's Poetics
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,"Jordan,Joseph",MLA Handbook for Writers of Research Papers
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,"Jordan,Joseph",Shakespeare's Tragedies (ed. Bevington)
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,22,"Jordan,Joseph",Oedipus Rex
Spring 2012,Reading & Composition:  Laughter and Literature,English R1B,23,"Huerta,Javier",The Aztec Love God
Spring 2012,Reading & Composition:  Reading California,English R1B,24,"Hausman,Blake",The Devil's Punchbowl: A Cultural and Geographical Map of California Today
Spring 2012,Reading & Composition:  Reading California,English R1B,24,"Hausman,Blake",The Life and Adventures of Joaquin Murieta
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,"Ahmed,Adam",Northanger Abbey
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,"Ahmed,Adam",The Philip K. Dick Reader
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,"Ahmed,Adam",The Trial
Spring 2012,Reading & Composition:  Paranoia,English R1B,25,"Ahmed,Adam",The Crying of Lot 49
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,"Jordan,Joseph",Aristotle's Poetics
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,"Jordan,Joseph",MLA Handbook for Writers of Research Papers
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,"Jordan,Joseph",Shakespeare's Tragedies (ed. Bevington)
Spring 2012,Reading & Composition:  Shakespearean Tragedy,English R1B,26,"Jordan,Joseph",Oedipus Rex
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",Of Plymouth Plantation
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel","I, Tituba, Black Witch of Salem"
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",The Scarlet Letter
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",The Crucible
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",The American Puritans: Their Prose and Poetry
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",A Mercy
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel","Mayflower: A Story of Courage, Community, and War"
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",The Sovereignty and Goodness of God
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Trocchio,Rachel",The Wordy Shipmates
Spring 2012,Reading & Composition:  Reading California,English R1B,28,"Hausman,Blake",The Devil's Punchbowl: A Cultural and Geographical Map of California Today
Spring 2012,Reading & Composition:  Reading California,English R1B,28,"Hausman,Blake",The Life and Adventures of Joaquin Murieta
Spring 2012,Reading & Composition:  The Essay--Evidence and Idea,English R1B,29,"Speirs,Kenneth",The Wasteland
Spring 2012,Reading & Composition:  The Essay--Evidence and Idea,English R1B,29,"Speirs,Kenneth",Light in August
Spring 2012,Reading & Composition:  The Essay--Evidence and Idea,English R1B,29,"Speirs,Kenneth",Leaves of Grass
Spring 2012,Freshman Seminar:  Bullets Across the Bay--Detective Narratives Set in San Francisco,English 24,1,"Hutson,Richard",The Maltese Falcon
Spring 2012,Freshman Seminar:  Bullets Across the Bay--Detective Narratives Set in San Francisco,English 24,1,"Hutson,Richard",Murder Loves Company
Spring 2012,Freshman Seminar:  Bullets Across the Bay--Detective Narratives Set in San Francisco,English 24,1,"Hutson,Richard",Dead Midnight
Spring 2012,Freshman Seminar:  Reading  Walden Carefully,English 24,2,"Breitwieser,Mitchell",Walden
Spring 2012,Introduction to the Writing of Short Fiction,English 43A,1,"Chandra,Vikram",The Best American Short Stories 2011
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Thornbury,Emily","The Canterbury Tales, ed. Jill Mann (Penguin)"
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Thornbury,Emily",John Donne's Poetry (Norton edition)
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Thornbury,Emily",Beowulf: A New Verse Translation (Bilingual Edition)
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Thornbury,Emily","Doctor Faustus, ed. David Scott Kastan (Norton ed.)"
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Thornbury,Emily","Paradise Lost, ed. Gordon Teskey (Norton ed.)"
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",Persuasion
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",Robinson Crusoe
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",The Interesting Narrative and Other Writings
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",Autobiography
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",Billy Budd and Other Tales
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",Frankenstein
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",A Sentimental Journey
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,"Puckett,Kent",The Penguin Book of Romantic Poetry
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",Persuasion
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",Oroonoko and Other Writings
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",Robinson Crusoe
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",Classic Slave Narratives
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",Bartleby and Benito Cereno
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",The Gold-Bug and Other Tales
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",The Sovereignty and Goodness of God
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,"Duncan,Ian",Gulliver's Travels
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",The Sound and the Fury
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",The Turn of the Screw
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",Passing
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",Saturday
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",The Crying of Lot 49
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,"Snyder,Katherine",Mrs. Dalloway
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.",Things Fall Apart
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.","The Norton Anthology of Modern and Contemporary Poetry, Volume I: Modern Poetry"
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.",The Sound and the Fury
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.",The Turn of the Screw and Other Tales
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.",Dubliners
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.",The Crying of Lot 49
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"Blanton,C.",The Picture of Dorian Gray
